global_step,timesteps,episodic_return_mean,episodic_return_std,wall_time_s
20000,20000,181.4,57.97620201427479,3.4707679748535156
40000,40000,467.2,54.45695547861632,6.885384798049927
60000,60000,461.5,67.40660205054101,10.271862030029297
80000,80000,471.2,52.298757155404765,13.68154001235962
100000,100000,495.5,13.5,17.082767009735107
120000,120000,422.4,111.094734348663,20.509636163711548
140000,140000,407.4,115.8975409575199,23.891801118850708
160000,160000,416.3,113.5614811456772,27.64642095565796
180000,180000,500.0,0.0,31.06869602203369
200000,200000,479.9,60.300000000000004,34.477171897888184
